No.,Time,Source,Destination,Protocol,Length,Source,Destination,,,,,
8881,4.087481,2203648523,3643449376,10,150,131.89.2.11,217.42.160.32,,,,,
8882,4.087559,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8883,4.088151,3579350585,3296060491,10,1518,213.88.142.57,196.117.228.75,,,,,
8884,4.088274,3300799413,2203667416,10,70,196.190.51.181,131.89.75.216,,,,,
8885,4.089414,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8886,4.089531,3719688424,2203664892,2,101,221.181.240.232,131.89.65.252,,,,,
8887,4.089541,1203523057,3296060490,10,70,71.188.77.241,196.117.228.74,,,,,
8888,4.089548,3301181571,2203667416,10,82,196.196.8.131,131.89.75.216,,,,,
8889,4.089556,3301181571,2203667416,10,70,196.196.8.131,131.89.75.216,,,,,
8890,4.089563,3301181571,2203667416,10,70,196.196.8.131,131.89.75.216,,,,,
8891,4.089695,3301181571,2203667416,10,214,196.196.8.131,131.89.75.216,,,,,
8892,4.08973,3375374709,2203664931,10,82,201.48.33.117,131.89.66.35,,,,,
8893,4.089981,2203664931,3375374709,10,70,131.89.66.35,201.48.33.117,,,,,
8894,4.090012,2203667416,3301181571,10,82,131.89.75.216,196.196.8.131,,,,,
8895,4.090025,2203667416,3301181571,10,70,131.89.75.216,196.196.8.131,,,,,
8896,4.090483,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8897,4.091038,3365046429,2203667416,10,1050,200.146.136.157,131.89.75.216,,,,,
8898,4.091123,3300799413,2203667416,10,70,196.190.51.181,131.89.75.216,,,,,
8899,4.09113,3300799413,2203667416,10,70,196.190.51.181,131.89.75.216,,,,,
8900,4.091184,2203667416,3301181571,10,70,131.89.75.216,196.196.8.131,,,,,
8901,4.091548,3300799413,2203667416,10,371,196.190.51.181,131.89.75.216,,,,,
8902,4.091714,2203667416,3300799413,10,82,131.89.75.216,196.190.51.181,,,,,
8903,4.091904,2203667416,3300799413,10,82,131.89.75.216,196.190.51.181,,,,,
8904,4.094091,3300799413,2203667416,10,1438,196.190.51.181,131.89.75.216,,,,,
8905,4.094526,2203667416,3477387054,10,78,131.89.75.216,207.68.183.46,,,,,
